"ID","Primary.Type","month","Latitude","Longitude","CountWithinRadius"
11662417,"ROBBERY","04",41.749500329,-87.6011574,1
11648995,"BURGLARY","04",41.928223683,-87.781948443,1
11661170,"OTHER OFFENSE","04",41.748314325,-87.705402198,1
11642235,"ASSAULT","04",41.899157702,-87.63578171,1
11644028,"CRIMINAL DAMAGE","04",41.734564195,-87.738722778,1
11644727,"BATTERY","04",41.69308427,-87.657411012,1
11649719,"ASSAULT","04",41.939653639,-87.671849317,1
11649770,"BATTERY","04",41.940412833,-87.651052567,4
11650889,"THEFT","04",41.880194,-87.665148099,1
11653322,"ASSAULT","04",41.909650876,-87.74386414,1
11657987,"ASSAULT","04",41.720480471,-87.682050624,1
11658475,"THEFT","04",42.019398266,-87.67488021,3
11659107,"ASSAULT","04",41.861559271,-87.65976218,2
11660766,"BATTERY","04",41.895367142,-87.732223634,1
11663484,"ASSAULT","04",41.806721344,-87.752914702,2
11667494,"OTHER OFFENSE","04",41.674846291,-87.661306187,1
24471,"HOMICIDE","04",41.77597783,-87.603396958,1
24489,"HOMICIDE","04",41.782520097,-87.709072415,1
24504,"HOMICIDE","04",41.736286061,-87.641841032,1
24470,"HOMICIDE","04",41.687128541,-87.664828494,2
24463,"HOMICIDE","04",41.753839308,-87.635594607,2
24984,"HOMICIDE","04",41.721251124,-87.65959212,2
24497,"HOMICIDE","04",41.701619471,-87.629578967,1
24512,"HOMICIDE","04",41.878030124,-87.721524427,4
24478,"HOMICIDE","04",41.708089971,-87.622344981,1
24492,"HOMICIDE","04",41.921718147,-87.723021662,2
24516,"HOMICIDE","04",41.884881946,-87.760246634,1
24488,"HOMICIDE","04",41.687125001,-87.62395243,1
24483,"HOMICIDE","04",41.707339719,-87.612047712,2
24469,"HOMICIDE","04",41.896145258,-87.723658214,1
24487,"HOMICIDE","04",41.764226888,-87.587182174,1
24518,"HOMICIDE","04",41.774183604,-87.608249138,2
24485,"HOMICIDE","04",41.880598157,-87.736537278,2
24513,"HOMICIDE","04",41.688668592,-87.670121265,1
