"ID","Primary.Type","month","Latitude","Longitude","CountWithinRadius"
11589974,"ASSAULT","02",41.89833738,-87.627283663,1
11591481,"BATTERY","02",41.909806865,-87.73213594,1
11595833,"ASSAULT","02",41.885700244,-87.641726854,3
11597218,"BATTERY","02",41.90316534,-87.629210442,4
11598334,"BATTERY","02",41.945993724,-87.655543789,1
11604115,"BATTERY","02",41.89246019,-87.628780784,1
11606138,"ASSAULT","02",41.87855794,-87.720667487,1
24409,"HOMICIDE","02",41.999979246,-87.707036051,2
24401,"HOMICIDE","02",41.894738195,-87.773377429,2
24393,"HOMICIDE","02",41.753370301,-87.580429004,1
24415,"HOMICIDE","02",41.862832799,-87.716970311,3
24404,"HOMICIDE","02",41.85524189,-87.645391738,1
24419,"HOMICIDE","02",41.946243255,-87.737649422,1
24400,"HOMICIDE","02",41.884156374,-87.672682817,2
24410,"HOMICIDE","02",41.87217952,-87.708299898,1
24394,"HOMICIDE","02",41.784611316,-87.622204191,1
24607,"HOMICIDE","02",41.77327712,-87.703006844,1
24414,"HOMICIDE","02",41.873781921,-87.737687526,1
24398,"HOMICIDE","02",41.867073203,-87.72582526,2
24403,"HOMICIDE","02",41.767311251,-87.581255746,1
24395,"HOMICIDE","02",41.758626359,-87.601350551,3
24417,"HOMICIDE","02",41.896721646,-87.759902047,1
24406,"HOMICIDE","02",41.892241945,-87.748798864,2
24399,"HOMICIDE","02",41.764608158,-87.641529674,1
24411,"HOMICIDE","02",41.802068832,-87.687929512,1
24397,"HOMICIDE","02",41.751181266,-87.663460692,3
24421,"HOMICIDE","02",41.775652068,-87.640762098,1
24407,"HOMICIDE","02",41.87603825,-87.714438372,1
24548,"HOMICIDE","02",41.866193999,-87.723557378,2
24402,"HOMICIDE","02",41.77376522,-87.633267065,1
24416,"HOMICIDE","02",41.792728507,-87.705984683,1
24396,"HOMICIDE","02",41.758626359,-87.601350551,3
11582980,"ASSAULT","02",41.719109659,-87.631025492,1
11594637,"WEAPONS VIOLATION","02",41.851640652,-87.716773122,3
11591203,"BURGLARY","02",41.784102663,-87.6019445,1
11584040,"OFFENSE INVOLVING CHILDREN","02",41.968014898,-87.748676624,1
11592901,"CRIMINAL DAMAGE","02",41.878996861,-87.639584908,1
11583995,"WEAPONS VIOLATION","02",41.784294788,-87.674038978,1
11591545,"CRIMINAL DAMAGE","02",41.88173675,-87.751457809,1
11593544,"THEFT","02",41.803201891,-87.72198373,4
11591423,"THEFT","02",41.752174465,-87.611318775,1
11585872,"THEFT","02",41.942696533,-87.650215895,2
11584480,"BATTERY","02",41.834810404,-87.655932882,1
11594242,"BURGLARY","02",41.937222445,-87.73070607,1
11591614,"DECEPTIVE PRACTICE","02",41.857469102,-87.666133553,1
11582716,"OTHER OFFENSE","02",41.796319417,-87.674370497,2
11589552,"ASSAULT","02",41.852368074,-87.664340305,3
11587755,"BATTERY","02",41.76737764,-87.622724454,2
11595419,"NARCOTICS","02",41.863157551,-87.659018523,1
11584506,"BATTERY","02",41.87200355,-87.641243006,1
11591561,"ROBBERY","02",41.855587334,-87.691800214,1
11593990,"OTHER OFFENSE","02",41.884424833,-87.725774753,1
11593270,"OTHER OFFENSE","02",41.792164799,-87.622399402,2
11594209,"THEFT","02",41.885730181,-87.634433124,2
11583002,"BATTERY","02",41.952203647,-87.730803928,1
11587560,"BATTERY","02",41.707519433,-87.601839023,5
11582744,"OTHER OFFENSE","02",41.781803169,-87.691029293,1
11595118,"THEFT","02",41.742002506,-87.669297919,1
11589197,"CRIMINAL DAMAGE","02",41.902023021,-87.773706834,1
11587160,"CRIMINAL DAMAGE","02",41.737776173,-87.70339808,1
11591192,"ASSAULT","02",41.749297482,-87.548000769,1
11584765,"ASSAULT","02",41.778877155,-87.708840106,5
11585693,"THEFT","02",41.965404069,-87.736202402,2
11586215,"BATTERY","02",41.754121535,-87.707460248,4
11590508,"THEFT","02",42.016607113,-87.675302757,2
11588379,"ASSAULT","02",41.753819454,-87.644126664,2
11582444,"MOTOR VEHICLE THEFT","02",41.829651528,-87.614451899,9
11582511,"WEAPONS VIOLATION","02",41.744319801,-87.643858169,1
11595494,"BATTERY","02",41.779396292,-87.635035324,1
11595371,"OTHER OFFENSE","02",41.681109736,-87.642018411,1
11587311,"OTHER OFFENSE","02",41.929808941,-87.800945306,1
11587029,"NARCOTICS","02",41.807220295,-87.721098235,2
11586951,"THEFT","02",41.928521067,-87.690335005,1
11592005,"BATTERY","02",42.002592103,-87.668081576,1
11585936,"ROBBERY","02",41.740341888,-87.551484539,1
11589962,"NARCOTICS","02",41.773040679,-87.644610137,6
11593972,"BATTERY","02",41.718124953,-87.564647099,1
11591948,"BURGLARY","02",41.728914792,-87.599790267,1
11587506,"BATTERY","02",41.711326446,-87.676927679,1
11584371,"BATTERY","02",41.736259984,-87.628068782,10
11584012,"BATTERY","02",41.750929656,-87.625610451,1
11589457,"DECEPTIVE PRACTICE","02",41.794533814,-87.631438536,3
11588892,"BATTERY","02",41.896664035,-87.629175344,5
11589768,"CRIMINAL DAMAGE","02",41.782509745,-87.642990878,1
11589953,"OTHER OFFENSE","02",41.837451305,-87.614544426,1
11593353,"WEAPONS VIOLATION","02",41.897851784,-87.71639126,1
11591229,"THEFT","02",41.871371147,-87.627514417,9
11584671,"ASSAULT","02",41.808662657,-87.660547675,1
11588056,"ASSAULT","02",41.899651681,-87.718890087,1
