"ID","Primary.Type","month","Latitude","Longitude","CountWithinRadius"
11554052,"BATTERY","01",41.87862256,-87.72559838,3
11561121,"THEFT","01",41.77002,-87.653033473,2
11561222,"BATTERY","01",41.758172871,-87.62845198,2
11561398,"THEFT","01",41.933221534,-87.659637153,1
11565231,"THEFT","01",41.92301979,-87.682699405,1
11566267,"THEFT","01",41.80853006,-87.752960732,1
11567279,"THEFT","01",41.896721939,-87.759960813,2
11570044,"THEFT","01",41.907786605,-87.728903688,1
11571824,"THEFT","01",41.893106637,-87.640310047,1
11572286,"THEFT","01",41.76623799,-87.5770382,1
11576041,"THEFT","01",41.88074666,-87.724054318,1
11576141,"THEFT","01",41.89364542,-87.634122793,7
11576969,"THEFT","01",41.884994578,-87.71733391,4
11579558,"ASSAULT","01",41.877039418,-87.6777536,1
11580604,"THEFT","01",41.92997759,-87.648918387,3
24377,"HOMICIDE","01",41.878455417,-87.73295131,2
24373,"HOMICIDE","01",41.736129473,-87.629162044,9
24368,"HOMICIDE","01",41.802908524,-87.62104831,2
24372,"HOMICIDE","01",41.77783091,-87.773112387,2
24389,"HOMICIDE","01",41.767805108,-87.683328051,2
24382,"HOMICIDE","01",41.735716764,-87.668604253,1
24385,"HOMICIDE","01",41.750341579,-87.664414911,1
24369,"HOMICIDE","01",41.802908524,-87.62104831,2
24390,"HOMICIDE","01",41.79260989,-87.726822279,1
24376,"HOMICIDE","01",41.910469919,-87.751645139,1
24388,"HOMICIDE","01",41.699161184,-87.611102829,1
24375,"HOMICIDE","01",41.810836292,-87.60392204,4
24383,"HOMICIDE","01",41.852534276,-87.690560725,1
24379,"HOMICIDE","01",41.751064764,-87.56258312,1
24370,"HOMICIDE","01",41.904788891,-87.66155984,1
24384,"HOMICIDE","01",41.942746559,-87.726537284,2
24798,"HOMICIDE","01",41.775380274,-87.631698738,1
24391,"HOMICIDE","01",41.767852431,-87.588925347,1
24378,"HOMICIDE","01",41.875679322,-87.62657476,2
24387,"HOMICIDE","01",41.872461439,-87.733374572,1
24374,"HOMICIDE","01",41.779309922,-87.674302688,1
24381,"HOMICIDE","01",41.890532455,-87.723502246,1
24371,"HOMICIDE","01",41.764064647,-87.659514616,1
11564486,"THEFT","01",41.87204596,-87.683737983,3
11553871,"THEFT","01",42.019399237,-87.675049485,12
11578537,"OTHER OFFENSE","01",41.969065116,-87.656615702,1
11573140,"OTHER OFFENSE","01",41.937458118,-87.781971814,4
11575743,"CRIMINAL DAMAGE","01",41.793459182,-87.632972123,2
11566043,"CRIMINAL DAMAGE","01",41.924766706,-87.76355347,1
11556491,"CRIMINAL DAMAGE","01",41.767151336,-87.567434511,2
11581788,"BATTERY","01",41.73625535,-87.62820806,3
11557252,"THEFT","01",41.76159862,-87.642144788,1
11577194,"THEFT","01",41.905574941,-87.689555077,1
11560681,"ASSAULT","01",41.820329161,-87.6105023,1
11571230,"BURGLARY","01",41.775315572,-87.635493861,3
11562336,"THEFT","01",41.893962515,-87.636176148,1
11556617,"THEFT","01",41.885981015,-87.642781484,1
11562662,"BATTERY","01",42.018498254,-87.672983233,8
11574554,"CRIMINAL TRESPASS","01",41.874363279,-87.643013039,7
11559430,"NARCOTICS","01",41.865467771,-87.722712547,3
11562957,"CRIMINAL DAMAGE","01",41.862218265,-87.639087164,4
11576687,"OTHER OFFENSE","01",41.883209435,-87.764962093,3
