"ID","Primary.Type","month","Latitude","Longitude","CountWithinRadius"
11711615,"THEFT","06",41.683875796,-87.725490546,1
11711806,"MOTOR VEHICLE THEFT","06",41.904726365,-87.775453858,1
11726243,"NARCOTICS","06",41.677236713,-87.679884157,1
11728283,"ASSAULT","06",41.86564376,-87.730049737,1
11730415,"ASSAULT","06",41.7994855,-87.593976216,1
11737259,"ASSAULT","06",41.860186842,-87.69182399,4
11738318,"THEFT","06",41.89404248,-87.680114042,1
11739406,"ROBBERY","06",41.735268973,-87.697619072,1
11742223,"THEFT","06",41.8199113,-87.639305868,1
11745048,"THEFT","06",41.894821547,-87.632133928,3
24586,"HOMICIDE","06",41.890176109,-87.750532837,1
24577,"HOMICIDE","06",41.804772841,-87.633256046,1
24605,"HOMICIDE","06",41.752480297,-87.56990311,1
24618,"HOMICIDE","06",41.760272856,-87.680574497,1
24609,"HOMICIDE","06",41.711437469,-87.639309285,2
24594,"HOMICIDE","06",41.696804495,-87.535282089,1
24626,"HOMICIDE","06",41.855965959,-87.729755273,3
24613,"HOMICIDE","06",41.748542818,-87.599046491,1
24601,"HOMICIDE","06",41.770182969,-87.680169774,1
24604,"HOMICIDE","06",41.776534731,-87.68966672,1
24621,"HOMICIDE","06",42.007407966,-87.666158586,1
24583,"HOMICIDE","06",41.890728337,-87.682689318,2
24589,"HOMICIDE","06",41.926729375,-87.631347326,1
24606,"HOMICIDE","06",41.935855273,-87.644257764,2
24623,"HOMICIDE","06",41.89370723,-87.708134126,2
24615,"HOMICIDE","06",41.860175271,-87.709147333,2
24595,"HOMICIDE","06",41.773068142,-87.644613509,2
24600,"HOMICIDE","06",41.752266466,-87.601569405,2
24585,"HOMICIDE","06",41.788480446,-87.623928854,1
24590,"HOMICIDE","06",41.838058092,-87.710954949,1
24617,"HOMICIDE","06",41.71752439,-87.598267882,1
24627,"HOMICIDE","06",41.747370809,-87.550387856,1
24578,"HOMICIDE","06",41.911161199,-87.633564277,2
24610,"HOMICIDE","06",41.763714219,-87.691781545,1
24622,"HOMICIDE","06",41.885388355,-87.706929899,1
24620,"HOMICIDE","06",41.89720223,-87.725293698,1
24588,"HOMICIDE","06",41.777810401,-87.593008043,1
24582,"HOMICIDE","06",41.874526187,-87.711901076,1
24624,"HOMICIDE","06",41.75515014,-87.651435012,1
24603,"HOMICIDE","06",41.732599207,-87.585555292,3
24614,"HOMICIDE","06",41.773061957,-87.672529994,1
24592,"HOMICIDE","06",41.774093686,-87.607047693,1
24575,"HOMICIDE","06",41.753272058,-87.648962792,2
24599,"HOMICIDE","06",41.884897329,-87.754014481,2
24574,"HOMICIDE","06",41.897949791,-87.728625471,1
24596,"HOMICIDE","06",41.795380992,-87.665835417,2
24579,"HOMICIDE","06",41.911161199,-87.633564277,2
24611,"HOMICIDE","06",41.879309009,-87.760373544,2
24616,"HOMICIDE","06",41.882323559,-87.737982768,2
24591,"HOMICIDE","06",41.793597589,-87.627785273,1
24576,"HOMICIDE","06",41.877622161,-87.750727697,1
24587,"HOMICIDE","06",41.862007878,-87.727492147,1
24608,"HOMICIDE","06",41.776018543,-87.615520426,4
24625,"HOMICIDE","06",41.783218289,-87.724109542,1
24593,"HOMICIDE","06",41.723339662,-87.632089363,1
24619,"HOMICIDE","06",41.871646482,-87.724008569,3
24602,"HOMICIDE","06",41.848873261,-87.712479744,1
24612,"HOMICIDE","06",41.884545666,-87.737312133,1
24597,"HOMICIDE","06",41.924228431,-87.747117979,1
24598,"HOMICIDE","06",41.88390335,-87.71751699,1
24580,"HOMICIDE","06",41.960145088,-87.699653761,1
11726498,"BATTERY","06",41.886300546,-87.75528349,1
11710772,"OTHER OFFENSE","06",41.768924366,-87.582853494,2
11726201,"CRIMINAL TRESPASS","06",41.775429728,-87.640753492,4
11732092,"WEAPONS VIOLATION","06",41.752057482,-87.653780222,1
11720927,"BATTERY","06",41.787676835,-87.683864384,1
11723183,"CRIMINAL DAMAGE","06",41.977800842,-87.682888645,2
11729654,"GAMBLING","06",41.702872442,-87.605161845,1
11735845,"OTHER OFFENSE","06",41.883823074,-87.63852649,2
11715962,"PUBLIC PEACE VIOLATION","06",41.896713162,-87.625560534,2
11736186,"CRIMINAL DAMAGE","06",41.895653663,-87.697279839,1
