"ID","Primary.Type","month","Latitude","Longitude","CountWithinRadius"
11634750,"OFFENSE INVOLVING CHILDREN","03",41.68932781,-87.657501593,2
11631758,"BATTERY","03",41.74652661,-87.643922505,2
11610397,"CRIMINAL DAMAGE","03",41.735346079,-87.693218046,1
11613900,"THEFT","03",41.969142924,-87.72805557,2
11615877,"THEFT","03",42.012295923,-87.806631208,1
11616661,"THEFT","03",42.019399237,-87.675049485,20
11619887,"ASSAULT","03",41.683935861,-87.721810757,2
11621871,"ASSAULT","03",41.882988527,-87.774750634,2
11623646,"THEFT","03",42.019399237,-87.675049485,20
11624281,"ASSAULT","03",41.749137925,-87.56376052,2
11626483,"THEFT","03",41.755008548,-87.730148696,1
11627017,"ASSAULT","03",41.865503066,-87.771003981,1
11634717,"THEFT","03",42.019399237,-87.675049485,20
11638354,"BATTERY","03",41.831050285,-87.622699469,1
24435,"HOMICIDE","03",41.7592783,-87.633303591,1
24458,"HOMICIDE","03",41.783122356,-87.663494988,1
24449,"HOMICIDE","03",41.813164917,-87.634620968,3
24423,"HOMICIDE","03",41.88012367,-87.74940138,1
24445,"HOMICIDE","03",41.931961083,-87.713056469,3
24454,"HOMICIDE","03",41.823383662,-87.712326147,1
24427,"HOMICIDE","03",41.959119468,-87.728271764,2
24453,"HOMICIDE","03",41.899453778,-87.752035309,2
24439,"HOMICIDE","03",41.784728458,-87.618968921,2
24446,"HOMICIDE","03",41.890402145,-87.71657313,1
24451,"HOMICIDE","03",41.740262274,-87.557553257,2
24434,"HOMICIDE","03",41.899227636,-87.708958174,1
24424,"HOMICIDE","03",41.762485723,-87.652834495,2
24428,"HOMICIDE","03",41.892593987,-87.745725183,5
24442,"HOMICIDE","03",41.711483998,-87.536488614,2
24438,"HOMICIDE","03",41.847896293,-87.725302041,1
24425,"HOMICIDE","03",41.876609629,-87.742688095,1
24433,"HOMICIDE","03",41.761514559,-87.647350443,1
24452,"HOMICIDE","03",41.752656763,-87.56140233,1
24457,"HOMICIDE","03",41.890607251,-87.721055519,3
24450,"HOMICIDE","03",41.902365801,-87.716854733,11
24422,"HOMICIDE","03",41.899400259,-87.685624335,1
24443,"HOMICIDE","03",41.740913387,-87.647404863,1
24429,"HOMICIDE","03",41.809519024,-87.607384952,1
24447,"HOMICIDE","03",41.680631865,-87.659049559,1
24426,"HOMICIDE","03",41.893646347,-87.635628657,7
24432,"HOMICIDE","03",41.711714647,-87.642954141,6
24456,"HOMICIDE","03",41.787032553,-87.711250708,1
24437,"HOMICIDE","03",41.793772993,-87.689420934,1
24448,"HOMICIDE","03",41.8810902,-87.758760245,4
24436,"HOMICIDE","03",41.741170915,-87.585745319,2
24444,"HOMICIDE","03",41.895287937,-87.631214259,1
24455,"HOMICIDE","03",41.727096769,-87.603034703,2
24430,"HOMICIDE","03",41.750321833,-87.666210811,2
11644448,"DECEPTIVE PRACTICE","03",41.903948978,-87.67383799,1
11639273,"BATTERY","03",41.895420644,-87.720539406,7
11616945,"THEFT","03",41.893378893,-87.621560887,4
11634072,"ASSAULT","03",41.859799121,-87.643856169,1
11616519,"BATTERY","03",41.769414467,-87.66394187,2
11626898,"BATTERY","03",41.709804324,-87.642908658,4
11630395,"OTHER OFFENSE","03",41.808028033,-87.641488208,1
11620237,"BATTERY","03",41.865654084,-87.706861913,1
11638030,"THEFT","03",41.927072307,-87.672008704,2
11640287,"THEFT","03",41.910515099,-87.675607323,1
11625309,"BATTERY","03",41.777170802,-87.701421576,1
11622823,"ASSAULT","03",41.95390204,-87.654529895,10
11620127,"NARCOTICS","03",41.773614737,-87.623946047,2
11611629,"THEFT","03",41.90683577,-87.728130174,4
11634709,"ASSAULT","03",41.962374727,-87.765461389,1
11619898,"OTHER OFFENSE","03",41.756180766,-87.637951506,1
11630952,"ROBBERY","03",41.771924425,-87.68675442,1
11634471,"OTHER OFFENSE","03",41.864077055,-87.7080374,1
11631291,"BATTERY","03",41.758787148,-87.711050764,1
11619408,"BATTERY","03",41.876725028,-87.694522703,1
11624328,"THEFT","03",41.886803108,-87.662490139,1
11625805,"THEFT","03",41.893349463,-87.623456403,3
11618045,"WEAPONS VIOLATION","03",41.720580506,-87.569907184,1
11610331,"MOTOR VEHICLE THEFT","03",41.911609558,-87.679365506,2
11613238,"WEAPONS VIOLATION","03",41.725742815,-87.602013328,1
11632949,"WEAPONS VIOLATION","03",41.834377463,-87.716957182,1
11615017,"BATTERY","03",41.905481311,-87.736221102,4
11628061,"THEFT","03",41.89608709,-87.626834633,3
11622108,"CRIMINAL DAMAGE","03",41.943594931,-87.726095503,1
11633201,"THEFT","03",41.892753031,-87.624193896,12
11616067,"CRIMINAL TRESPASS","03",41.68050408,-87.6205914,2
11625814,"BURGLARY","03",41.929411537,-87.702449623,1
11633820,"BURGLARY","03",41.793856167,-87.684693126,1
11632112,"BATTERY","03",41.779179421,-87.772767014,1
11619228,"CRIMINAL DAMAGE","03",41.859665908,-87.662604988,1
11628093,"NARCOTICS","03",41.74830929,-87.630601055,1
11635730,"OTHER OFFENSE","03",41.748214668,-87.634885958,1
11610418,"DECEPTIVE PRACTICE","03",41.945802872,-87.807024478,1
11620768,"THEFT","03",41.85199252,-87.688888738,5
11617864,"BATTERY","03",41.741488548,-87.646753846,1
11624550,"BATTERY","03",41.873765737,-87.699296047,2
11631936,"CRIM SEXUAL ASSAULT","03",41.783455232,-87.613274211,2
11639543,"NARCOTICS","03",41.776926753,-87.651999941,2
11628266,"THEFT","03",41.728623014,-87.594939523,1
11615188,"OTHER OFFENSE","03",41.79826919,-87.723303209,1
11619286,"DECEPTIVE PRACTICE","03",41.925939693,-87.806324205,1
11639831,"ASSAULT","03",41.777216063,-87.662925863,1
11631425,"CRIMINAL DAMAGE","03",41.923561044,-87.799916919,1
11632855,"ASSAULT","03",41.7220209,-87.578992855,1
11635047,"NARCOTICS","03",41.89437596,-87.724832009,3
11639870,"BATTERY","03",41.875288057,-87.723999683,4
11615498,"BATTERY","03",41.801985413,-87.623541514,1
11636846,"BURGLARY","03",41.948405154,-87.784906531,1
11638422,"CRIMINAL DAMAGE","03",41.876136865,-87.728831143,1
11611750,"ASSAULT","03",41.719753253,-87.634860912,1
11619062,"MOTOR VEHICLE THEFT","03",41.935658732,-87.711752668,2
11625902,"THEFT","03",41.893541578,-87.629701805,6
11634113,"THEFT","03",41.882914147,-87.694674048,1
11635183,"WEAPONS VIOLATION","03",41.751928332,-87.644077264,8
11639695,"NARCOTICS","03",41.877244215,-87.681430778,1
11631462,"THEFT","03",41.883500187,-87.627876698,52
11634891,"THEFT","03",41.883133362,-87.677573795,2
11619664,"THEFT","03",41.947457773,-87.700499912,1
11639257,"CRIMINAL DAMAGE","03",41.885326396,-87.633919718,6
11624921,"THEFT","03",41.884493832,-87.627021129,8
11623702,"DECEPTIVE PRACTICE","03",41.77935338,-87.615604225,1
11636814,"INTERFERENCE WITH PUBLIC OFFICER","03",41.769353766,-87.591078119,2
